image_file,page,page_reference,bbox_points_left_top_right_bottom,source_xref,transparency_mask_xref,associated_product_or_page_section
images/img_001_p01_xref22.png,1,Cover / project overview,"51.85, 761.91, 296.16, 816.1",22,29,Cover / project overview
images/img_002_p01_xref23.png,1,Cover / project overview,"28.93, 27.29, 668.32, 542.02",23,30,Cover / project overview
images/img_003_p01_xref24.png,1,Cover / project overview,"736.46, 108.14, 1146.2, 394.48",24,31,Cover / project overview
images/img_004_p01_xref25.png,1,Cover / project overview,"648.63, 404.49, 1155.9, 711.16",25,32,Cover / project overview
images/img_005_p01_xref26.png,1,Cover / project overview,"325.5, 552.4, 619.84, 738.88",26,,Cover / project overview
images/img_006_p01_xref27.png,1,Cover / project overview,"29.25, 551.27, 316.58, 738.49",27,,Cover / project overview
images/img_007_p02_xref47.png,2,A.01 Current-space photographs,"1101.4, 34.22, 1163.31, 91.13",47,,A.01 Current-space photographs
images/img_008_p02_xref48.png,2,A.01 Current-space photographs,"53.5, 151.03, 1083.1, 672.32",48,51,A.01 Current-space photographs
images/img_007_p02_xref47.png,3,A.02 Current-spec plan,"1101.4, 34.22, 1163.31, 91.13",47,,A.02 Current-spec plan
images/img_009_p03_xref67.png,3,A.02 Current-spec plan,"76.09, 158.0, 1061.17, 659.46",67,68,A.02 Current-spec plan
images/img_007_p02_xref47.png,4,A.03 Plan-view specifications,"1101.4, 34.22, 1163.31, 91.13",47,,A.03 Plan-view specifications
images/img_010_p04_xref85.png,4,A.03 Plan-view specifications,"76.09, 152.11, 1061.17, 708.35",85,87,A.03 Plan-view specifications
images/img_011_p04_xref86.png,4,A.03 Plan-view specifications,"203.2, 657.13, 487.38, 800.43",86,88,A.03 Plan-view specifications
images/img_007_p02_xref47.png,5,A.04 Electrical plan,"1101.4, 34.22, 1163.31, 91.13",47,,A.04 Electrical plan
images/img_012_p05_xref106.png,5,A.04 Electrical plan,"200.47, 88.87, 994.4, 580.17",106,109,A.04 Electrical plan
images/img_013_p05_xref107.png,5,A.04 Electrical plan,"888.65, 331.77, 945.31, 366.21",107,,A.04 Electrical plan
images/img_014_p05_xref108.png,5,A.04 Electrical plan,"877.05, 693.54, 995.18, 800.16",108,,A.04 Electrical plan
images/img_007_p02_xref47.png,6,A.05 Cabinet layout plan,"1101.4, 34.22, 1163.31, 91.13",47,,A.05 Cabinet layout plan
images/img_015_p06_xref124.png,6,A.05 Cabinet layout plan,"88.19, 49.18, 1064.52, 752.36",124,125,A.05 Cabinet layout plan
images/img_007_p02_xref47.png,7,A.06 Cabinet specifications,"1101.4, 34.22, 1163.31, 91.13",47,,A.06 Cabinet specifications
images/img_016_p07_xref139.png,7,A.06 Cabinet specifications,"79.75, 57.6, 1065.05, 768.65",139,140,A.06 Cabinet specifications
images/img_007_p02_xref47.png,8,A.07 Cabinet details and hardware,"1101.4, 34.22, 1163.31, 91.13",47,,A.07 Cabinet details and hardware
images/img_017_p08_xref160.png,8,A.07 Cabinet details and hardware,"63.45, 145.54, 686.46, 372.88",160,165,A.07 Cabinet details and hardware
images/img_018_p08_xref161.png,8,A.07 Cabinet details and hardware,"73.68, 457.85, 489.94, 736.75",161,166,A.07 Cabinet details and hardware
images/img_019_p08_xref162.png,8,A.07 Cabinet details and hardware,"708.31, 403.82, 1071.6, 654.37",162,167,A.07 Cabinet details and hardware
images/img_020_p08_xref163.png,8,A.07 Cabinet details and hardware,"703.41, 135.35, 1065.72, 367.91",163,168,A.07 Cabinet details and hardware
images/img_021_p08_xref164.png,8,A.07 Cabinet details and hardware,"891.0, 671.41, 1065.84, 771.53",164,169,Cabinet hardware detail / product image (also appears on A.07)
images/img_007_p02_xref47.png,9,A.08 Countertop and backsplash specifications,"1101.4, 34.22, 1163.31, 91.13",47,,A.08 Countertop and backsplash specifications
images/img_022_p09_xref190.png,9,A.08 Countertop and backsplash specifications,"39.23, 60.25, 516.06, 595.24",190,194,A.08 Countertop and backsplash specifications
images/img_023_p09_xref191.png,9,A.08 Countertop and backsplash specifications,"425.55, 485.32, 1093.2, 795.22",191,195,A.08 Countertop and backsplash specifications
images/img_024_p09_xref192.png,9,A.08 Countertop and backsplash specifications,"534.76, 89.91, 935.34, 287.85",192,196,A.08 Countertop and backsplash specifications
images/img_025_p09_xref193.png,9,A.08 Countertop and backsplash specifications,"738.4, 294.77, 1029.97, 482.68",193,197,A.08 Countertop and backsplash specifications
images/img_007_p02_xref47.png,10,A.09 Sink-wall elevation,"1101.4, 34.22, 1163.31, 91.13",47,,A.09 Sink-wall elevation
images/img_026_p10_xref221.png,10,A.09 Sink-wall elevation,"71.57, 366.7, 1058.48, 678.23",221,227,A.09 Sink-wall elevation
images/img_027_p10_xref222.png,10,A.09 Sink-wall elevation,"71.65, 52.84, 646.37, 350.33",222,228,A.09 Sink-wall elevation
images/img_028_p10_xref223.png,10,A.09 Sink-wall elevation,"105.66, 655.66, 248.87, 792.65",223,229,A.09 Sink-wall elevation
images/img_029_p10_xref224.png,10,A.09 Sink-wall elevation,"653.21, 211.32, 885.39, 338.58",224,230,A.09 Sink-wall elevation
images/img_030_p10_xref225.png,10,A.09 Sink-wall elevation,"890.7, 216.76, 1023.68, 362.81",225,231,A.09 Sink-wall elevation
images/img_031_p10_xref226.png,10,A.09 Sink-wall elevation,"551.02, 708.43, 778.21, 810.33",226,232,A.09 Sink-wall elevation
images/img_007_p02_xref47.png,11,A.10 Sink-wall elevation specifications,"1101.4, 34.22, 1163.31, 91.13",47,,A.10 Sink-wall elevation specifications
images/img_032_p11_xref247.png,11,A.10 Sink-wall elevation specifications,"58.86, 185.26, 1079.58, 641.18",247,248,A.10 Sink-wall elevation specifications
images/img_007_p02_xref47.png,12,A.11 Range-wall elevation,"1101.4, 34.22, 1163.31, 91.13",47,,A.11 Range-wall elevation
